Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Trevor Rogers*,28,BAL,AL,1,0,1.000,0.00,1,1,0,0,0,0,7.0,3,0,0,0,4,0,5,1,0,0,27,,4.34,1.000,3.9,0.0,5.1,6.4,1.25,,rogertr01
2,Max Fried*,32,NYY,AL,1,0,1.000,0.00,1,1,0,0,0,0,6.1,2,0,0,0,1,0,4,1,0,0,23,,3.31,0.474,2.8,0.0,1.4,5.7,4.00,,friedma01
3,Andrew Abbott*,27,CIN,NL,0,0,,0.00,1,1,0,0,0,0,6.0,7,0,0,0,1,0,4,0,0,0,24,,2.80,1.333,10.5,0.0,1.5,6.0,4.00,,abbotan01
4,Garrett Crochet*,27,BOS,AL,1,0,1.000,0.00,1,1,0,0,0,0,6.0,3,0,0,0,2,0,8,0,0,0,24,,1.96,0.833,4.5,0.0,3.0,12.0,4.00,,crochga01
5,Cristopher Sánchez*,29,PHI,NL,1,0,1.000,0.00,1,1,0,0,0,0,6.0,3,0,0,0,0,0,10,0,0,0,21,,0.30,0.500,4.5,0.0,0.0,15.0,,,sanchcr01
6,Tarik Skubal*,29,DET,AL,1,0,1.000,0.00,1,1,0,0,0,0,6.0,3,1,0,0,0,0,6,0,0,0,22,,1.63,0.500,4.5,0.0,0.0,9.0,,,skubata01
7,José Soriano,27,LAA,AL,1,0,1.000,0.00,1,1,0,0,0,0,6.0,2,0,0,0,4,1,7,0,0,0,24,,3.30,1.000,3.0,0.0,6.0,10.5,1.75,,soriajo02
8,Yoshinobu Yamamoto,27,LAD,NL,1,0,1.000,3.00,1,1,0,0,0,0,6.0,5,2,2,1,0,0,6,0,0,0,21,201,3.80,0.833,7.5,1.5,0.0,9.0,,,yamamyo01
9,Logan Gilbert,29,SEA,AL,0,0,,5.06,1,1,0,0,0,0,5.1,5,3,3,1,0,0,7,0,0,0,21,81,3.44,0.938,8.4,1.7,0.0,11.8,,,gilbelo01
10,Joe Ryan,30,MIN,AL,0,0,,0.00,1,1,0,0,0,0,5.1,1,0,0,0,2,0,7,0,0,0,19,,2.13,0.563,1.7,0.0,3.4,11.8,3.50,,ryanjo04
11,Tanner Bibee,27,CLE,AL,0,0,,5.40,1,1,0,0,0,0,5.0,4,3,3,3,2,0,7,0,0,0,20,76,9.83,1.200,7.2,5.4,3.6,12.6,3.50,,bibeeta01
12,Matthew Liberatore*,26,STL,NL,0,0,,1.80,1,1,0,0,0,0,5.0,7,1,1,1,2,0,2,0,0,1,24,338,6.63,1.800,12.6,1.8,3.6,3.6,1.00,,liberma01
13,Jacob Misiorowski,24,MIL,NL,1,0,1.000,1.80,1,1,0,0,0,0,5.0,2,1,1,1,3,0,11,0,0,0,20,338,3.63,1.000,3.6,1.8,5.4,19.8,3.67,,misioja01
14,Freddy Peralta,30,NYM,NL,1,0,1.000,7.20,1,1,0,0,0,0,5.0,6,4,4,2,0,0,7,0,0,0,21,84,6.03,1.200,10.8,3.6,0.0,12.6,,,peralfr01
15,Drew Rasmussen,30,TBR,AL,0,0,,1.80,1,1,0,0,0,0,5.0,4,1,1,1,0,0,2,0,0,0,20,229,5.43,0.800,7.2,1.8,0.0,3.6,,,rasmudr01
16,Logan Webb,29,SFG,NL,0,1,.000,10.80,1,1,0,0,0,0,5.0,9,7,6,0,1,0,7,1,0,0,26,56,2.03,2.000,16.2,0.0,1.8,12.6,7.00,,webblo01
17,Hunter Brown,27,HOU,AL,0,0,,0.00,1,1,0,0,0,0,4.2,4,0,0,0,4,0,9,0,0,0,22,,2.34,1.714,7.7,0.0,7.7,17.4,2.25,,brownhu01
18,Nathan Eovaldi,36,TEX,AL,0,1,.000,9.64,1,1,0,0,0,0,4.2,8,5,5,2,0,0,7,0,0,0,22,43,6.20,1.714,15.4,3.9,0.0,13.5,,,eovalna01
19,Zac Gallen,30,ARI,NL,0,1,.000,9.00,1,1,0,0,0,0,4.0,5,4,4,1,2,0,2,0,0,0,19,68,7.38,1.750,11.3,2.3,4.5,4.5,1.00,,galleza01
20,Matthew Boyd*,35,CHC,NL,0,1,.000,14.73,1,1,0,0,0,0,3.2,6,6,6,1,1,0,7,0,0,0,17,42,4.17,1.909,14.7,2.5,2.5,17.2,7.00,,boydma01
21,Cade Cavalli,27,WSN,NL,0,0,,4.91,1,1,0,0,0,0,3.2,3,3,2,0,3,0,5,0,0,1,17,126,3.36,1.636,7.4,0.0,7.4,12.3,1.67,,cavalca01
22,Ben Brown,26,CHC,NL,0,0,,5.40,1,0,0,0,0,0,3.1,3,2,2,1,1,0,3,0,0,1,13,115,6.63,1.200,8.1,2.7,2.7,8.1,3.00,,brownbe02
23,Tobias Myers,27,NYM,NL,0,0,,3.00,1,0,0,0,0,0,3.0,1,1,1,1,0,0,1,0,0,0,10,210,7.30,0.333,3.0,3.0,0.0,3.0,,,myersto01
24,Nick Pivetta,33,SDP,NL,0,1,.000,18.00,1,1,0,0,0,0,3.0,7,6,6,0,3,0,4,0,0,0,19,35,3.96,3.333,21.0,0.0,9.0,12.0,1.33,,pivetni01
25,AJ Blubaugh,25,HOU,AL,0,1,.000,3.86,1,0,0,0,0,0,2.1,2,1,1,1,0,0,3,0,0,0,9,116,6.63,0.857,7.7,3.9,0.0,11.6,,,blubaaj01
26,Brad Lord,26,WSN,NL,1,0,1.000,3.86,1,0,0,0,0,0,2.1,4,1,1,0,0,0,1,0,0,0,10,167,2.77,1.714,15.4,0.0,0.0,3.9,,,lordbr02
27,Sean Newcomb*,33,CHW,AL,0,0,,7.71,1,0,0,0,0,0,2.1,3,2,2,0,1,1,1,0,0,0,10,58,4.06,1.714,11.6,0.0,3.9,3.9,1.00,,newcose01
28,Yohan Ramírez,31,PIT,NL,0,0,,0.00,1,0,0,0,0,0,2.1,1,0,0,0,1,0,3,0,0,0,9,,2.34,0.857,3.9,0.0,3.9,11.6,3.00,,ramiryo01
29,JT Brubaker,32,SFG,NL,0,0,,0.00,1,0,0,0,0,0,2.0,1,0,0,0,1,0,2,0,0,0,7,,3.13,1.000,4.5,0.0,4.5,9.0,2.00,,brubajt01
30,Yoendrys Gómez,26,TBR,AL,0,0,,0.00,1,0,1,0,0,0,2.0,2,0,0,0,1,1,1,0,1,0,9,,4.13,1.500,9.0,0.0,4.5,4.5,1.00,,gomezyo01
31,Ron Marinaccio,30,SDP,NL,0,0,,9.00,1,0,0,0,0,0,2.0,3,2,2,1,0,0,2,0,0,0,9,73,8.13,1.500,13.5,4.5,0.0,9.0,,,marinro01
32,Bradgley Rodríguez,22,SDP,NL,0,0,,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,3,0,0,0,6,,0.63,0.000,0.0,0.0,0.0,13.5,,,rodribr01
33,Andrew Hoffmann,26,ARI,NL,0,0,,0.00,1,0,1,0,0,0,1.2,1,0,0,0,2,0,0,1,0,0,8,,9.03,1.800,5.4,0.0,10.8,0.0,0.00,,hoffman01
34,Shane Smith,26,CHW,AL,0,1,.000,16.20,1,1,0,0,0,0,1.2,3,4,3,0,2,0,2,0,0,0,11,29,4.83,3.000,16.2,0.0,10.8,10.8,1.00,,smithsh02
35,Drew Anderson,32,DET,AL,0,0,,6.75,1,0,0,0,0,0,1.1,2,1,1,1,2,0,0,0,0,0,8,73,17.88,3.000,13.5,6.8,13.5,0.0,0.00,,anderdr02
36,Jalen Beeks*,32,TEX,AL,0,0,,0.00,1,0,0,0,0,0,1.1,1,0,0,0,0,0,2,0,0,0,5,,0.63,0.750,6.8,0.0,0.0,13.5,,,beeksja02
37,Mason Montgomery*,26,PIT,NL,0,0,,13.50,1,0,0,0,0,0,1.1,1,2,2,0,3,0,2,0,0,0,8,51,7.38,3.000,6.8,0.0,20.3,13.5,0.67,,montgma01
38,Riley O'Brien,31,STL,NL,1,0,1.000,0.00,1,0,0,0,0,0,1.1,1,0,0,0,0,0,2,0,0,0,5,,0.63,0.750,6.8,0.0,0.0,13.5,,,obrieri01
39,Jedixson Paez,22,CHW,AL,0,0,,20.25,1,0,0,0,0,0,1.1,2,3,3,1,2,0,0,0,0,0,8,24,17.88,3.000,13.5,6.8,13.5,0.0,0.00,,paezje01
40,Erik Sabrowski*,28,CLE,AL,0,0,,0.00,1,0,0,0,0,0,1.1,0,0,0,0,0,0,3,0,0,0,4,,-0.87,0.000,0.0,0.0,0.0,20.3,,,sabroer01
41,Tyler Alexander*,31,TEX,AL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.63,0.000,0.0,0.0,0.0,0.0,,,alexaty01
42,Grant Anderson,29,MIL,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,,1.63,0.000,0.0,0.0,0.0,9.0,,,andergr01
43,Aaron Ashby*,28,MIL,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,,-0.37,0.000,0.0,0.0,0.0,18.0,,,ashbyaa01
44,Carter Baumler,24,TEX,AL,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,1,1,0,0,6,,7.63,2.000,9.0,0.0,9.0,9.0,1.00,,baumlca01
45,Clayton Beeter,27,WSN,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,2,0,1,0,0,1,5,,7.63,2.000,0.0,0.0,18.0,9.0,0.50,,beetecl01
46,Jonathan Bowlan,29,PHI,NL,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,,3.63,1.000,9.0,0.0,0.0,0.0,,,bowlajo01
47,Connor Brogdon,31,CLE,AL,1,0,1.000,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,4,,1.63,1.000,9.0,0.0,0.0,9.0,,,brogdco01
48,Aroldis Chapman*,38,BOS,AL,0,0,,0.00,1,0,1,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.63,0.000,0.0,0.0,0.0,0.0,,,chapmar01
49,Cooper Criswell,29,SEA,AL,0,0,,9.00,1,0,1,0,0,0,1.0,1,1,1,1,1,0,1,0,0,0,4,59,17.63,2.000,9.0,9.0,9.0,9.0,1.00,,criswco01
50,Camilo Doval,28,NYY,AL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,4,,3.63,0.000,0.0,0.0,0.0,0.0,,,dovalca01
51,Luis García,39,NYM,NL,0,0,,18.00,1,0,1,0,0,0,1.0,3,2,2,0,0,0,2,0,0,0,6,41,-0.37,3.000,27.0,0.0,0.0,18.0,,,garcilu03
52,Tyler Gilbert*,32,CHW,AL,0,0,,18.00,1,0,0,0,0,0,1.0,2,2,2,1,1,0,0,0,0,0,6,30,19.63,3.000,18.0,9.0,9.0,0.0,0.00,,gilbety01
53,DL Hall*,27,MIL,NL,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,2,0,3,0,0,0,6,,3.63,3.000,9.0,0.0,18.0,27.0,1.50,,halldl01
54,Brent Headrick*,28,NYY,AL,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,1,0,1,0,0,0,5,,4.63,2.000,9.0,0.0,9.0,9.0,1.00,,headrbr01
55,Ryan Helsley,31,BAL,AL,0,0,,0.00,1,0,1,0,0,1,1.0,1,0,0,0,0,0,3,0,0,1,4,,-2.37,1.000,9.0,0.0,0.0,27.0,,,helslry01
56,Caleb Kilian,29,SFG,NL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,,1.63,0.000,0.0,0.0,0.0,9.0,,,kiliaca01
57,Bryan King*,29,HOU,AL,0,0,,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,0,1,1,0,0,6,59,4.63,2.000,18.0,0.0,0.0,9.0,,,kingbr02
58,Will Klein,26,LAD,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,,1.63,0.000,0.0,0.0,0.0,9.0,,,kleinwi01
59,Justin Lawrence,31,PIT,NL,0,0,,18.00,1,0,0,0,0,0,1.0,2,2,2,2,0,0,0,0,0,0,5,41,29.63,2.000,18.0,18.0,0.0,0.0,,,lawreju01
60,Jordan Leasure,27,CHW,AL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.63,0.000,0.0,0.0,0.0,0.0,,,leasujo01
61,Casey Legumina,29,SEA,AL,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,1,0,2,1,0,0,6,,5.63,2.000,9.0,0.0,9.0,18.0,2.00,,legumca01
62,Hoby Milner*,35,CHC,NL,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1,0,0,5,,6.63,1.000,9.0,0.0,0.0,0.0,,,milneho01
63,Sam Moll*,34,CIN,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,,1.63,0.000,0.0,0.0,0.0,9.0,,,mollsa01
64,David Morgan,26,SDP,NL,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,1,0,1,0,0,0,5,,4.63,2.000,9.0,0.0,9.0,9.0,1.00,,morgada01
65,Juan Morillo,27,ARI,NL,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,1,0,1,0,0,0,5,,4.63,2.000,9.0,0.0,9.0,9.0,1.00,,morilju02
66,Wandy Peralta*,34,SDP,NL,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,,3.63,1.000,9.0,0.0,0.0,0.0,,,peralwa01
67,Cionel Pérez*,30,WSN,NL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,,-0.37,0.000,0.0,0.0,0.0,18.0,,,perezci01
68,Drew Pomeranz*,37,LAA,AL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.63,0.000,0.0,0.0,0.0,0.0,,,pomerdr01
69,Zach Pop,29,PHI,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,,6.63,1.000,0.0,0.0,9.0,0.0,0.00,,popza01
70,PJ Poulin*,29,WSN,NL,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,5,,6.63,2.000,9.0,0.0,9.0,0.0,0.00,,poulipj01
71,Christian Roa,27,HOU,AL,0,0,,9.00,1,0,1,0,0,0,1.0,1,1,1,1,2,0,1,0,0,0,6,59,20.63,3.000,9.0,9.0,18.0,9.0,0.50,,roach02
72,Taylor Rogers*,35,MIN,AL,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,4,,1.63,1.000,9.0,0.0,0.0,9.0,,,rogerta01
73,Jordan Romano,33,LAA,AL,0,0,,0.00,1,0,1,0,0,1,1.0,0,0,0,0,1,0,1,0,0,0,4,,4.63,1.000,0.0,0.0,9.0,9.0,1.00,,romanjo03
74,Dennis Santana,30,PIT,NL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,4,,4.63,1.000,0.0,0.0,9.0,9.0,1.00,,santade01
75,Tanner Scott*,31,LAD,NL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.63,0.000,0.0,0.0,0.0,0.0,,,scottta01
76,Justin Slaten,28,BOS,AL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,2,0,0,0,4,,2.63,1.000,0.0,0.0,9.0,18.0,2.00,,slateju01
77,Cade Smith,27,CLE,AL,0,0,,0.00,1,0,1,0,0,1,1.0,0,0,0,0,0,0,1,0,0,0,3,,1.63,0.000,0.0,0.0,0.0,9.0,,,smithca06
78,Gregory Soto*,31,PIT,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,,-0.37,0.000,0.0,0.0,0.0,18.0,,,sotogr01
79,Gabe Speier*,31,SEA,AL,0,1,.000,18.00,1,0,0,0,0,0,1.0,3,2,2,0,0,0,1,0,0,0,6,30,1.63,3.000,27.0,0.0,0.0,9.0,,,speiega01
80,Ryne Stanek,34,STL,NL,0,0,,0.00,1,0,1,0,0,1,1.0,0,0,0,0,3,0,1,0,0,0,6,,10.63,3.000,0.0,0.0,27.0,9.0,0.33,,stanery01
81,Ryan Thompson,34,ARI,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,,1.63,0.000,0.0,0.0,0.0,9.0,,,thompry02
82,Justin Topa,35,MIN,AL,0,0,,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,0,0,0,0,0,5,59,3.63,2.000,18.0,0.0,0.0,0.0,,,topaju01
83,Blake Treinen,38,LAD,NL,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,4,,1.63,1.000,9.0,0.0,0.0,9.0,,,treinbl01
84,Will Vest,31,DET,AL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,,1.63,0.000,0.0,0.0,0.0,9.0,,,vestwi01
85,Jacob Webb,32,CHC,NL,0,0,,0.00,1,0,1,0,0,0,1.0,1,2,0,1,0,0,2,0,0,0,5,,12.63,1.000,9.0,9.0,0.0,18.0,,,webbja01
86,Tyler Wells,31,BAL,AL,0,0,,9.00,1,0,0,0,0,0,1.0,1,1,1,0,0,0,1,0,0,0,4,59,1.63,1.000,9.0,0.0,0.0,9.0,,,wellsty01
87,Garrett Whitlock,30,BOS,AL,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,0,0,0,4,,-0.37,1.000,9.0,0.0,0.0,18.0,,,whitlga01
88,Keaton Winn,28,SFG,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,2,0,0,0,4,,2.63,1.000,0.0,0.0,9.0,18.0,2.00,,winnke01
89,Jake Woodford,29,MIL,NL,0,0,,9.00,1,0,1,0,0,0,1.0,1,1,1,1,0,0,3,0,0,0,4,81,10.63,1.000,9.0,9.0,0.0,27.0,,,woodfja01
90,Shawn Armstrong,35,CLE,AL,0,0,,13.50,1,0,0,0,0,0,0.2,1,1,1,1,0,0,2,0,0,0,3,45,17.13,1.500,13.5,13.5,0.0,27.0,,,armstsh01
91,Graham Ashcraft,28,CIN,NL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,1,0,0,0,3,,5.13,1.500,0.0,0.0,13.5,13.5,1.00,,ashcrgr01
92,Jake Bird,30,NYY,AL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,,0.63,0.000,0.0,0.0,0.0,13.5,,,birdja01
93,Jhoan Duran,28,PHI,NL,0,0,,0.00,1,0,1,0,0,1,0.2,1,0,0,0,0,0,1,0,0,0,3,,0.63,1.500,13.5,0.0,0.0,13.5,,,duranjh01
94,Jose A. Ferrer*,26,SEA,AL,0,0,,0.00,1,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,4,,3.63,3.000,27.0,0.0,0.0,0.0,,,ferrejo01
95,Kody Funderburk*,29,MIN,AL,0,1,.000,13.50,1,0,0,0,0,0,0.2,1,1,1,0,1,0,0,0,0,0,4,45,8.13,3.000,13.5,0.0,13.5,0.0,0.00,,fundeko01
96,Jordan Hicks,29,CHW,AL,0,0,,40.50,1,0,0,0,0,0,0.2,2,3,3,0,4,0,0,0,0,0,7,15,21.63,9.000,27.0,0.0,54.0,0.0,0.00,,hicksjo03
97,Tyler Holton*,30,DET,AL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0,3,,8.13,1.500,0.0,0.0,13.5,0.0,0.00,,holtoty01
98,Griffin Jax,31,TBR,AL,0,0,,13.50,1,0,0,0,0,0,0.2,1,1,1,1,0,0,0,0,0,0,3,45,23.13,1.500,13.5,13.5,0.0,0.0,,,jaxgr01
99,Isaac Mattson,30,PIT,NL,0,0,,27.00,1,0,0,0,0,0,0.2,3,2,2,0,2,0,1,0,0,0,7,30,9.63,7.500,40.5,0.0,27.0,13.5,0.50,,mattsis01
100,Connor Phillips,25,CIN,NL,0,0,,27.00,1,0,0,0,0,0,0.2,2,2,2,0,1,0,1,0,0,0,5,30,5.13,4.500,27.0,0.0,13.5,13.5,1.00,,phillco01
101,JoJo Romero*,29,STL,NL,0,0,,0.00,1,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,4,,3.63,3.000,27.0,0.0,0.0,0.0,,,romerjo01
102,Paul Skenes,24,PIT,NL,0,1,.000,67.50,1,1,0,0,0,0,0.2,4,5,5,0,2,0,1,1,0,0,9,12,14.13,9.000,54.0,0.0,27.0,13.5,0.50,,skenepa01
103,Walbert Ureña,22,LAA,AL,0,0,,0.00,1,0,0,0,0,0,0.2,1,0,0,0,1,0,1,0,0,0,4,,5.13,3.000,13.5,0.0,13.5,13.5,1.00,,urenawa01
104,Kyle Backhus*,28,PHI,NL,0,0,,81.00,1,0,0,0,0,0,0.1,3,3,3,1,0,0,0,0,0,0,4,13,42.63,9.000,81.0,27.0,0.0,0.0,,,backhky01
105,Justin Bruihl*,29,STL,NL,0,0,,54.00,1,0,0,0,0,0,0.1,1,2,2,0,1,0,0,0,0,0,3,19,12.63,6.000,27.0,0.0,27.0,0.0,0.00,,bruihju01
106,Brock Burke*,29,CIN,NL,0,0,,0.00,1,0,1,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,2,,3.63,3.000,27.0,0.0,0.0,0.0,,,burkebr01
107,Taylor Clarke,33,ARI,NL,0,0,,108.00,1,0,0,0,0,0,0.1,3,4,4,1,0,0,0,1,0,0,5,10,51.63,9.000,81.0,27.0,0.0,0.0,,,clarkta01
108,Garrett Cleavinger*,32,TBR,AL,0,1,.000,54.00,1,0,0,0,0,0,0.1,2,2,2,0,0,0,0,0,0,0,3,16,3.63,6.000,54.0,0.0,0.0,0.0,,,cleavga01
109,Pierce Johnson,35,CIN,NL,0,1,.000,27.00,1,0,0,0,0,0,0.1,2,1,1,0,0,0,0,0,0,0,3,38,3.63,6.000,54.0,0.0,0.0,0.0,,,johnspi01
110,Chris Roycroft,29,STL,NL,0,0,,27.00,1,0,0,0,0,0,0.1,3,1,1,0,0,0,0,0,0,0,4,38,3.63,9.000,81.0,0.0,0.0,0.0,,,roycrch01
111,Chase Silseth,26,LAA,AL,0,0,,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.63,0.000,0.0,0.0,0.0,0.0,,,silsech01
112,Matt Svanson,27,STL,NL,0,0,,81.00,1,0,0,0,0,0,0.1,3,3,3,0,0,0,0,0,0,0,4,13,3.63,9.000,81.0,0.0,0.0,0.0,,,svansma01
113,Ian Seymour*,27,TBR,AL,0,0,,,1,0,0,0,0,0,0.0,5,5,5,0,0,0,0,0,0,0,5,3,,,,,,,,,seymoia01
,League Average,,,,,,.500,4.80,,,,,,,,,,,,,,,,,,,100,4.80,1.400,8.9,1.3,3.7,9.6,2.57,,-9999